"Hotelid","userid","reviewtext","Date","NoOfReaders","HelpfulToNoOfreaders","Value_rating","Rooms_rating","Location_rating","Cleanliness_rating","Checkin_rating","Service_rating","Businessservice_rating","AverageOverallRatingOfHotel","AveragePricing"
"hotel_133","hotel_5371","Fair Value The Stratford is a 2 star hotel of fair value. The price we paid through Expedia was approximately $100.00 per night.LOCATION: Absolutely SUPERB!! 1/2 block from Union Square, 1 Block from Market Steet, the cable car runs right in front of the hotel, major department stores within 1 block, Walgreen's 1/2 block, very short walk to Chinatown and the financial district. For the walkaholics, Fisherman's wharf would be an easy stroll.LOBBY: somewhat dark and drab. They need to have stronger lights and brighter paint and carpet color. The lobby is small, but there is an attached room which has a TV and 2 computers with (very expensive) access to the internet.INTERNET ACCESS: $10/hour through the hotel, or $30/month through a wireless service. However, if you walk up to UNION SQUARE with your laptop, there is free wireless. I was there as early as 7:30 AM (brrrrrrr) and as late as 10:00PM. Relatively safe, they have security 24/7, but it's good to be alert and cautious. Connection was excellent.LOBBY STAFF: Very Friendly and helpful. Absolutely no complaints.ROOM: our room was small, but quiet. We were in the back of the hotel, so did not get any noise from the street. It was also clean, but the carpet showed its age. The bathroom was also small. Closet space was limited but adequate. The room would not be particularly comfortable for oversized people. The cleaning staff was efficient and friendly. BREAKFAST: Continental breakfast is served from 7:30 - 9:30. Simple, but adequate. Muffins, toast, bagels, cereal, oatmeal, juice, yogurt, milk, coffee. No fresh fruit.TRANSPORTATION: Cable car is efficient and fun. The bus routes are excellent and timely. We took the bus from market street to the de young museum and it worked out quite well. There is of course walking, which we did to the Asian Art Museum. BART is cheap and efficient - if you don't have a big load. We paid $5.15 one way from SFO to the Powell street exit. Finally, there seemed to be adequate taxi service. SUMMARY: If you're looking for a less expensive hotel, the stratford is worth considering.","Dec 18, 2007","1","1",5,4,6,5,4,6,2,"4","$148"
"hotel_133","hotel_9949","Fab Location It's not the nicest hotel but it's clean and comfortable. The rooms are a bit on the small side and the buffet breakfast was a bit of a let down. This is a reasonably priced hotel in the city and I beleive you get what you pay for, which is somewhere to leave your luggage and sleep - it's San Francisco, you're not supposed to be in your room!! And when you step out the hotel you are in the heart of the city, two steps from Union Square. The cable car runs outside the hotel and at the bottom of the street you can get the bus. The muni card was a bargain and we saw the whole city using it. The Stratford isn't the Ritz but I wasn't there for the hotel. Would definitely stay there again.","Dec 9, 2007","0","0",6,4,6,5,5,5,1,"4","$148"
"hotel_133","hotel_1353","If only the room wasn't so cold... The location is very good, if a little claustrophobic, being right on Powell Street at Union Square.The Queen-bed room I stayed in was pretty small but I can cope with that.My main gripe was that there is no individually controlled heating or aircon in the room. While the heating is on, the room is fine, but *they switch the heating off* at about 8.30pm every evening! So it got very cold after that. I don't know when the heating comes on again but it certainly wasn't before 9.30am when I left the hotel each morning.Breakfast is included in the price and was OK: muffins, pastries, toast, cereal and the like; but not much choice and it was exactly the same every day, so you may get bored of it quite quickly.","Nov 19, 2007","1","0",3,3,6,5,4,1,1,"4","$148"
"hotel_133","hotel_7360","Perfect Location  Had no problems with the Stratford. Fabulous location, right in the heart of Union Square, 2 minute walk to Macy's and all the great shops. Cable car stop right outside the hotel entrance. Perfect place to stay if no transport as Fishermans Wharf accessible by cable and walk to Union Square.Stayed from 17/10-19/10 so for a short stay was great, breakfast was excellent, cereal, toast, fresh muffins, juice and tea  coffee.Rooms are very small but fine for just sleeping and getting ready, shower good pressure and everything clean and room serviced perfectly every morning.Lift is very slow but as we were on level 3 it was no problem to take the stairs rather than wait.All in all would definately reccomend this hotel to anyone travelling to San Francisco, for the price the location is unbeatable and it is clean, safe and all you need. If we return to San Fran would definately be booking the Stratford","Nov 10, 2007","0","0",5,4,6,5,4,4,1,"4","$148"
"hotel_133","hotel_3918","Location, Location, Location My wife and I decided 11 years ago that we would celebrate our 25th wedding anniversary in 2007 with a month touring the west coast of America. I'm always up for a months holiday but I'll be the first to admit my number 1 priority is value for money and thanks to the internet and TA, this is just what I found with this hotel. (I had 11 years to research it and stayed here!!)The location is perfect, right in the heart of the city and within walking distance of most major places of interest. (Get a travel pass and everything is in reach via cable car/bus/muni).Staff were extremely helpful and always had suggestions if we were looking for something to do or a route to a certain location.The rooms were clean and functional and to us Brits, they were certainly of an adequate size.Breakfast consisted of toast, muffins, dried fruit and natural yoghurt with tea coffee and juice, not too heavy and sets you up nicely for a day sightseeing.The lift is slow but we felt it added to the character of the hotel and caused us no problems.I would advise anybody visiting SF to seriously consider this as a base for their trip. We stayed 24-28 Sept and paid $89 per night which I thought was good for a city centre hotel with breakfast.","Nov 9, 2007","0","0",6,6,6,6,6,6,1,"4","$148"
"hotel_133","hotel_7997","Perfect Vacation My Wife and I spent 7 nights at the Stratford Hotel in August of 2007. This was our first visit to SF and we stayed here by recommendation from a relative that had stayed there before. It was the most perfect location right in Union Square, famous cable cars running right in front of our hotel with easy on and off access without the long lines. The staff at the Hotel was so very friendly, nice and helpful. The breakfast was awesome. I highly recommend the Hotel to anyone wanting a very clean, affordable, and perfect location. Thanks to all the staff at the Stratford for making our vacation in SF so special. Randy NC","Nov 8, 2007","0","0",1,1,1,1,1,1,1,"4","$148"
"hotel_133","hotel_2681","Incompetent mgmt, great location       Stratford entrance","Oct 27, 2007","1","0",3,2,6,6,6,2,1,"4","$148"
"hotel_133","hotel_6576","A fair enough place for the price It's been said before here, but I'll say it again...if you're after luxury, go elsewhere. It's a basic place, clean, with an OK breakfast...most important, the central location. It's right where you want to be for everything.We booked through expedia so paid through them, however upon returning home I found that my card had been charged again. I thought this may be a problem, however I got all my money back.It's not going to be the Waldorf, but you want to be out experiencing the city, not lounging around in the hotel.I give it 4 stars because of the price and location, and the fact that it was clean and in a safe area.","Oct 4, 2007","1","0",5,5,6,5,4,5,5,"4","$148"
"hotel_133","hotel_1384","Don't bother to go here The last days of our road trip through California we stayed in this hotel. I can't recommend it. The rooms are tiny, noisy and I believe the price isn't that marvellous as well (you can find better deals!) If you stay in SF I highly recommend The Monticello Hotel (only one black more to Powell Station). I stayed there the first nights which was simply marvellous. Fine, large rooms, breakfast and complimentary wine in the afternoon and free internet! Clean  crisp. So do'n bother with the Stratford and find an other deal!","Sep 25, 2007","2","1",3,2,5,3,5,4,3,"4","$148"
"hotel_133","hotel_1632","Horrible, rude and cramped The Straford Hotel was miserable. Once you put your suitcases down, there is no room to walk. Our shower door didn't close and our window didn't close either. There was no screen and our view was of a brick wall. The bed felt flimsy and the sheets were scratchy. Don't count on getting much sleep, it was loud in the hotel regardless of our window being open. If you are still in college and ready to party all night, this might be the place for you. The location was good but I would pay more money next time to keep some sanity while on a vacation.","Sep 24, 2007","0","0",2,2,4,3,3,3,2,"4","$148"
"hotel_133","hotel_4258","Fantastic Location, not so fantastic hotel Well as you can read in every other review, the rooms here are TINY! As you open your door you almost hit the end of the bed, but at the same time, it had everything we needed... although the only place to sit is on your bed. One thing I found a real problem was the fact that there is one small window and if you leave it open at night it is noisy. We had to sleep with the window closed which made the room really hot to sleep in as there is no air-conditioning or fan. The front desk gave us the wrong room type but we had no troubles getting a different room when we went and told them.The hotel is in a fantastic location, souvenirs, groceries, clothes... everything you could need is all located within a 5 minute walk of the hotel including the big Westfield shopping centre.My friend and I only stayed at the hotel for 2 nights so it was tolerable, but I'm glad we weren't staying there for too much longer as the room really was small and there was no ventilation. I think part of the reason I was so unimpressed was simply because I had stayed in fabulous hotels in LA and Vegas for the 2 weeks before our stay at the Stratford and we had become used to the standard.For anyone who is on a budget or staying for a short time I would say try the Stratford simply for its amazing location, but if you are in town for longer, maybe fork out bit more money and find somewhere with more comfort (ie. air-con)","Sep 12, 2007","1","0",4,3,6,5,4,4,1,"4","$148"
"hotel_133","hotel_9551","Pefect for travelers on a BUDGET who don't want a DIVE hotel! My husband and I were first time visitors to San Francisco. We wanted to see the sites and enjoy the city -- not spend time in our hotel room. The Stratford was absolutely perfect for this. Best hotel location in the city -- close to Union Square, but it's easy to get to other areas by hopping on the cable cars. The rooms are small and the beds aren't pillow-top (by any means!), but the place is clean, quaint, and the staff is very friendly. You will feel safe here and you will be glad that you saved some money on the hotel so you can spend it on other things.We would definitely stay here again!","Aug 24, 2007","1","1",6,4,5,5,5,6,3,"4","$148"
"hotel_133","hotel_5420","Wonderful experience at the Stratford My husband and I stayed here for five days and found it to be a wonderful experience. As noted by the reviews the room was indeed small but adequate for our needs as we were only in the room to sleep. We had no problem with street noise and slept with the window open. The staff was very helpful with any questions we had and very knowledgeable about the area. We loved the convenience of the hotel and would hightly recommend it to anyone. Also, we loved the breakfast in the AM. We thought it was quite adequate for our needs. We would definitely stay here again on our next trip to San Francisco.","Aug 16, 2007","0","0",6,5,6,6,6,6,1,"4","$148"
"hotel_133","hotel_3077","Great Value, Great Location..Noisy We had six people and this is one of few hotels that could hold six people without booking two rooms. It is right on the cablecar line which was fun for the kids (ages 15 - 21). No air conditioning and it did get a little hot. The hotel was noisy with some guest fighting in the middle of the night (two nights in a row) the outside is noisy and since the windows needed to be open,this was an issue with the kids in the front...it was a clean hotel, nice staff, convenient to everything..location location...it was fun to be where were for the price!! I would book that again if I needed that much space.Debbie from Cincinnati Ohio","Aug 7, 2007","1","1",5,4,5,5,4,5,1,"4","$148"
"hotel_133","hotel_1561","Would definitely stay here again The Sratford Hotel is in the heart of San Fransico, minutes from transport to places such as Fishermans Wharf, Pier 39 and a train to the airport. The rooms are small but very clean and pleasant to stay in. We were on the 4th floor which meant noise of traffic was minimal. Very pleased with the breakfast selection. The lift was slow but there are stairs if you are in a hurray. Staff were helpful and friendly. I loved being able to step out of the hotel and be right in the centre of town - shops, Union Square, cable car etc. I would definitely stay here again but possibly avoid a weekend as prices rise considerably.","Jul 20, 2007","2","2",1,1,1,1,1,1,1,"4","$148"
"hotel_133","hotel_8949","Very Happy Customer My wife and I arrived on the 4th of July in the afternoon and were greeted very warmly by the staff. As soon as we got to our room (we were very happy to have a view of the street) we took off to explore. We found that our hotel is located just half a block from Union Square and just 2 blocks from where the cable car turns around. So not only is The Stratford located very close to so many of the things we wanted to see but it is a wonderful hotel. The free morning breakfast is just the healthy food we needed to start our day. The room has a very nice bathroom and is very clean and well laid out. We were unable to do and see all the things we wanted to so when we come back to San Francisco we will without a doubt be staying at The Stratford and I will also be recommending this hotel to anybody I know making the same trip.","Jul 14, 2007","2","2",6,6,6,6,6,6,6,"4","$148"
"hotel_133","hotel_6200","Perfectly suitable for short break Having read some of the previous reviews of the Stratford I wasn't sure what to expect when we arrived.However, we were pleasantly suprised by what we found. On check in we met the friendliest security guy ever and had a chat with him before we went to our room.The rooms are not massive, but perfectly adequate for 2 people plus luggage. decor was fine, very clean, nice bathroom, good TV.Throughout a 2 week trip we made to the US, very few hotels we stayed in included breakfast so that's an added bonus at the Stratford. They have cereals, bread, muffins, tea, coffee and orange juice.Location is unbeatable-the hotel is steps away from Union Square, right on the tram line to get to Fishermans Wharf and has some good restaurants and bars in the surrounding streets so everything you need is in good walking distance.I would definately stay here again and would recommend to others.","Jul 2, 2007","2","2",5,5,6,5,5,4,1,"4","$148"
"hotel_133","hotel_8938","Loved It! 06/29/07 - I stayed at this hotel back in Feb. '05. It was the first time that I went to San Fran. The reason I booked at this hotel, was because of the price and location. I made a good choice. The rooms are little on the smaller side, but you are not going to San Fran to stay in your room. The rooms were very nice. A lot of shopping, restaurant, bars and a mall nearby. The staff was very kind and friendly and this is the reason I'm booking at this hotel when I go to San Fran in september. Thank You Stratford Hotel.","Jun 29, 2007","1","1",1,1,1,1,1,1,1,"4","$148"
"hotel_133","hotel_8393","GREAT... Great place... read review just prior to this one and he says it all very well.... was there in April 2007 ... 2nd time in SF/Union square in past year.....TIP: This hotel is affordable enough to just book it outright.... NOT worth playing games on HOTWIRE to get a Union Square hotel for $30 less b/c it can very shady very quickly .... The Powell is another nice affordable choice w/slightly bigger rooms... but overall the location, nice breakfast and value of the STRATFORD i will def go back there next time in SF....","Jun 22, 2007","0","0",5,4,6,5,6,5,4,"4","$148"
"hotel_133","hotel_5119","Everything you need My girlfriend and I stayed at The Stratford for one night in May, a Thursday. Arriving into the Oakland airport late (11:30), we had no trouble finding the hotel and checking in. The staff was very helpful in directing us on where to 1) park, 2) get a late nite dinner, and 3) find a cool bar to have a nitecap. Parking was conveniently located a block away (Ofarrell  Mason) in a public garage  was predictably expensive ($26 for 18 hr). Once the car was parked we went to Cafe Mason, right near the parking garage. This was an excellent choice for a respectable  delicious late nite meal. Afterwards, on the way back to the hotel we stopped in Johnny Foley's Irish House just around the corner for a few drinks and to take in some San Fran nite life. Highlight of the night: the transvestite lounge singer who takes requests at the pub.The room was admittedly small, but was clean  had nice design to it. You could defineatly feel the vibe. Why do you need a big room, if your just going to sleep in it? The bathroom was clean and decorated sparingly with style. The elevator was slow at times, but it wasn't too much of a hassle to use the stairs as we were on the fourth floor. Breakfast was nice and light, granola, yogurt, muffins, tea, coffee,  juice. The breakfast room overlooks Powell St. and the hustle  bustle of the city. Hearing the cablecar go by every few minutes really made us anxious to get out and explore the city. Of note; as we were staying in the standard room, wi-fi was not included and was only available for a fee. Fortunately, there was a free hotspot at union square that could be accessed from the hotel (yes, that is how close it is to Union Square).The best thing about this place is the central location to EVERYTHING. BART, Muni Metro, the F Market Streetcar, cable cars,  buses run constantly within a short distance of the Stratford. Before checking out that morning we walked around the neighborhood. Two blocks down Powell is Market St., where the cable cars turn around and a convenient place to buy your Muni pass. Low and behold, what store was right next door? A three story Forever 21, alas my girlfriend was in heaven........also nearby is a giant Macy's fronting Union square and numerous art galleries. While there are quite a bit of panhandlers around, they are not aggressive and shouldn't be feared. They can even be of help to lost or confused tourists.All in all, The Stratford was done right. Cheap rates ($90 in high season), nice accommodations, polite  helpful staff, in an awesome neighborhood in the middle of everything. What more could you ask for? I will definitely stay at the Stratford next time I'm in San Fran.","Jun 15, 2007","1","1",6,5,6,6,6,6,3,"4","$148"
"hotel_133","hotel_4257","Great Location - Room adequate I booked one night on Orbitz  called to add another night. We paid $147 per night. The location is great - right in the middle of everything. The room iwas very, very small. We booked a King size room thru Orbitz. When we got to our room, it was a queen. When we went to the front desk, they said they didn't have king rooms. We paid $10 more for the king. We told the front desk but didn't even acknowledge it. I have since gone on the Orbitz site and they have removed the king room. The bed took up the whole room. The bathroom was very small but extremely clean. Our room was right next to the stairway and it just happened that there was some kind of run/walk going on the next day. The walls are paper thin and the runners were on the stairs at 5:00am. Our room looked out at a brick wall. No air but didn't need it. We learned real quick that San Francisco is not very warm, my husband ended up buying a winter jacket! There was a couple checking out the day after we checked in. They did not have a working toilet for the 2 days that they were there. There were no other rooms available and the hotel offered them $20 off a night. The couple said it was not acceptable but the girl at the desk did not back down. They left with an open credit card bill until the manager could get back to them. Would we stay again? Probably not - there are other hotels nearby.","Jun 12, 2007","0","0",1,1,1,1,1,1,1,"4","$148"
"hotel_133","hotel_4615","About as central as you can get The Stratford is a good but unprepossessing budget hotel right on Powell Street less than a block from Union Square. The basic rooms are small but clean and well furnished. I've stayed there twice, first in 311 a small room at the back of the hotel. It was small but very quiet and perfectly adequate. This time we had room 601, one of their deluxe Centennial Club Rooms. This was a much larger, better furnished room overlooking Powell... it was noisy at night, and again in the morning when recycled garbage was collected around 4am and then a little later when the cable cars started. We had no problem sleeping and the noise of the city gave it an atmosphere, but if you are a light sleeper don't get one in the front. The modest breakfast is included in the price and is fine, though it would be nice to have had fruit on offer. Free local newspapers also available at breakfast. The staff are really helpful and friendly. I'd stay there again.","May 31, 2007","1","1",5,4,5,4,5,1,1,"4","$148"
"hotel_133","hotel_1566","Stratford lived up to expectations Read some of the other reviews - yes the room is smallish, yes the tv is up high and yes the elevator is very slow BUT considering the location, the price, and that I wanted to be outside the hotel playing tourist, these things were not an inconvenience at all. The room and bathroom were clean, the furnishing were clean, the bed was comfortable - it was a great stay and I would stay there again.Best of all the staff that I talked with were helpful and wanted to be helpful, gee it makes a difference. Thanks.Another reviewer mentioned to request a room away from the elevator - great bit of advice that.","May 20, 2007","0","0",5,5,6,5,5,5,4,"4","$148"
"hotel_133","hotel_6315","A Pleasant Experience!!!- April 22       Inside room","May 4, 2007","4","4",6,5,6,6,6,6,1,"4","$148"
"hotel_133","hotel_6174","Excellent hotel and breakfast We stay in this hotel for 4 nights. It was perfect for what we need because in San Francisco you don鈥檛 need car and the Hotel has 2 lines of cable car and at night all around close late. The room was small but comfortable, and it was at the back, so we didn鈥檛 heart the sound from the street. I recommend this hotel to every one.","May 3, 2007","1","1",6,4,6,5,6,5,4,"4","$148"
"hotel_133","hotel_5316","Great room, great rate, friendly staff! I loved staying at the Stratford. We had a nice little room, one of their standard queen bed rooms, towards the back of the property. We didn't have much of a view, but that didn't really matter to us. The room was small, I won't lie on that point, but we didn't go to San Francisco to spend the whole time in our room. The room was clean and the furnishings were nice. It looked like it had been recently remodeled, the paint was nice and clean looking. Our bed was very comfy and my husband and I slept like a dream, even though neither of us sleep well in hotel rooms. I love how close this place is to all the fun things to do on Market Street. We were right across the street from all sorts of restraunts on Powell and were just a short walk from the Westfield mall and all the shops around there. It was also very easy to get around to the other places in the city as well. We were close enough to walk all the way to Chinatown and back. The Stratford is right on the cable car line, and you can catch it right outside the hotel's door. It's also very close to the underground train and the bus line. It wasn't noisy at all, like other guests have mentioned, but, we were at the back of the property. We left both windows open all night both nights and didn't have a problem at all, and I'm an incredibly light sleeper. The elevator did seem to move a little slow sometimes, but it's an old building so I didn't expect it to go rocket fast! Plus, I wasn't really in any sort of a hurry. The staff was incredibly helpful when we asked about buying MUNI passes and places to eat and thrift shops to go to in the area! It was nice to have someone to valet park our car too, then we didn't have to worry about it for two days!","Apr 25, 2007","2","2",4,4,6,5,5,4,1,"4","$148"
"hotel_133","hotel_2181","charming I took my mom to SF and stayed 3 nights at the Stratford and found it perfectly acceptable. We didn't notice any smell in the lobby like others mentioned. The room was small but not to the extent that the door opens into the bed. We found it charming and decently clean. We requested a room facing the street because it would be boring to stay at the back. It was noisy the first night but we quickly got used to the city buzz and slept like babies for the following nights. We didn't find the elevator *that* slow but then we don't understand what was the hurry. Location-wise, it is definitely convenient. Cable car is only steps from the front door and a short walk from the Powell station.Breakfast consists of sliced bread, muffins, granola, yogurt, jam, juice, coffee and hot water. Far from ideal for a vegan like me. But it's a minor irritant. My mom who is a vegetarian, enjoyed the muffins and granola with yogurt.The interesting part was -- someone set off the fire alarm early in the morning one day (before day break) and the fire alarm sent us running up and down the stairs some 3 times before the issue was resolved. We were up anyway and found the unintended morning exercise amusing. But some elderly in wheelchair was stressed, trapped on the 6th floor without a working elevator. Not at all the hotel's fault. Just such things happen.","Apr 18, 2007","2","2",6,4,6,5,5,1,5,"4","$148"
"hotel_133","hotel_9434","Crammed quarters...","Apr 10, 2007","0","0",6,4,6,6,6,5,6,"4","$148"
"hotel_133","hotel_2337","Good Deal My husband and I stayed for 3 nights in February. We had reserved a Standard Room, but had to upgrade to a Club Room. The Standard was dark, cramped, smelled stale and had very worn/unattractive bedding. NOTHING like the cheerful picture the hotel features online. The Club Room was nicely furnished, modern and had a large bathroom. It looked exactly like the photo on their website. My only complaint was the tolitries were never replenished. The complimentary breakfast was basic, but plentiful - yogurt, granola, pastry, juice, coffee. Overall, it was a fantastic deal for the location. We would definitely stay here again, unbeatable value and perfect location.","Mar 24, 2007","0","0",6,4,6,4,4,4,4,"4","$148"
"hotel_133","hotel_8758","Great little hotel, superb location, friendly staff, good room       Stratford Hotel, Looking towards Union Square","Mar 16, 2007","6","6",6,4,6,6,6,5,4,"4","$148"
"hotel_133","hotel_6849","Great inexpensive hotel in heart of SF We were very happy with our stay here. The rooms are VERY small, we didn't have a view (except of a brick wall), but we stayed in the center of SF for less than $70 a night, and that's hard to beat. This hotel is more in the European style - the room is not where you will be spending most of your time, so why bother making it huge?Everything was clean enough that we were comfortable. The free breakfast was good enough to get your day started, and the staff was helpful all the time, and friendly most of the time. We have already recommended this hotel to several of our friends and acquaintances and will return when we next go to SF.","Mar 9, 2007","1","1",5,5,5,5,4,5,1,"4","$148"
"hotel_133","hotel_9415","Can't wait to return!! My fiance and I wanted to attend the Emerald Bowl, but did not want to spend a lot of money on our hotel stay. So, we chose to stay at the Stratford Hotel from Dec. 26-28. What a great choice and value!! We loved the Stratford and will stay there again!When we arrived at the Stratford, we unloaded and parked the car and did not get back into the car until we checked out of the hotel! Everything we needed was at or around the hotel! We walked everywhere! We walked to ATT Park, Fisherman's Wharf, to the shops, bars, and restaurants. The room was very small, but nice. We loved the comfortable bed, earth tone decor, yellow walls, and roomy bathroom. The view from our room was fantastic! We saw the cable car, shops, and food venues. I was a little concerned about the noise from the street below, but the windows kept all the sound out. The second night we actually slept with one window open!The only downside is the slow elevator, but please remember this building is very old. If you're looking for a hotel in a great San Francisco location, great value, and comfortable stay, please choose the Stratford. =)","Dec 29, 2006","4","4",6,6,6,6,6,6,6,"4","$148"
"hotel_133","hotel_6335","Great position for price       outside the stratford its right in the thick of it ..great","Dec 15, 2006","1","1",6,4,6,5,5,5,4,"4","$148"
"hotel_133","hotel_8714","Perfect location After initial fears that I had chosen the wrong hotel, we were delighted to find that in fact for somewhere to stop over for 3 nights whilst exploring San Francisco it was perfect. Yes the rooms are a little on the small side, but for just somewhere to sleep it was fine. Breakfast had plenty of choice with the usual muffins and toast. I would have no problem staying there the next time I visit.","Nov 22, 2006","3","3",5,4,6,5,6,5,6,"4","$148"
"hotel_133","hotel_7818","Perfect small hotel Small but immaculate standard room with a comfortable double bed, cable TV, a large bathroom. A half block from Union Square with the cable car at the entrance and all types of retaurants within walking distance. Ask for an interior room to avoid street noise. Also two blocks from the Metro and the BART stations to both SFO and Oakland airports. Modest prices [for San Francisco] include a good continental breakfast. The desk clerks were very helpful, and responded right away to requests. Many foreign tourists use the hotel.","Nov 21, 2006","0","0",6,5,6,6,6,5,1,"4","$148"
"hotel_133","hotel_8571","Excellent Hotel !! Located in Reno, a visit to San Francisco is just a few hours away. As I visit the city frequently, I have my favorite places to stay. Before making the trip I decided to surf the internet and see what hotel options were out there. If you have ever been to San Francisco, you will know that hotels are either affordable (and you wouldn't send your worst enemy their way) or extremely overpriced (and you wouldn't have enough money to enjoy any of the amazing things the city has to offer). Rarely does a hotel come along that has an excellent location, great amenities and affordable ~ until the Stratford. Upon arriving at the hotel I was quite suprised. You could not find a better location in Union Square. I was checked in right away and was quite pleased with the room. Although small (as every hotel room is in San Francisco) it was very clean and modern. There was in-room internet access, an I-Pod docking station and a stand up shower. The room had recently been remodeled and was much nicer than I ever expected. I was in room 701 and had an excellent view of Powell street. As this is one of the most lively areas in San Francisco, the nightlife was bustling right outside the window. It was great to open the windows and listen to the street musicians and the bells of the trolley's passing by. In the morning you can smell the fresh air of the city as the fog is rolling away and hear the laughter and relaxed conversaion of other visitors as they go about their visit to this amazing city. At the Stratford, you are within walking distance to premier shopping, China Town, the Muni (Underground subway system that will take you anywhere you want to go) and a huge variety of restaurants and entertainment. After my visit to the Stratford, this has become my hotel of choice. I will not stay anywhere else in the city ever again. If you are looking for a quiet out of the way restful vacation, this is not your place. If you want to feel the pulse of the city and be amongst it all, try the Stratford. Price, location  personality all make this a perfect hot spot. Previous posts mention the slow elevator. There is only one, and it is quite slow. The wait is not extreme, however, I found myself using the stairs during busy lobby times and was not inconvenienced in any way. To me, the small, slow elevator was just another piece of rustic charm this great boutique hotel has to offer!","Nov 21, 2006","4","4",6,6,6,6,6,6,6,"4","$148"
"hotel_133","hotel_2440","The worst hotel on our recent trip to the USA       view of the hotel from the street","Nov 5, 2006","4","2",4,2,6,3,2,3,1,"4","$148"
"hotel_133","hotel_7155","Great Value First let me say, I was traveling on a budget and alone! I found this hotel on hotels.com for approximately $100.00 per night. I checked other reviews here on TripAdvisor and decided to go for it. I was pleasantly surprised. The staff was very accomodating in finding me a room that was in a main hallway so that I would feel comfortable in the fact that I was a female traveling alone. The breakfast that was included was not gourmet, but certainly a luxury that we Americans do not see very often. The room was very clean. Yes, it was small and the comforter wasn't down filled, but you should expect that if you are paying $100.00 a night.The decor' of the lobby and the sitting area was nice. There were three computers and a printer available with a swipe of a card. I found this particularly convenient the day I was leaving. I was able to check-in online for my flight and print my boarding pass. Finally...I was right around the corner from Union Square and plenty of desireable restaurants. I would recommend this hotel to anyone that doesn't feel the need to spend $400.00 per night for a room.","Oct 19, 2006","6","6",5,4,5,5,5,5,5,"4","$148"
"hotel_133","hotel_4574","Not Impressed Although the location is great if you want to be by Union Square, and the rates may be competitive, I was not happy with my stay. I stayed 1 night on business (try the Chencellor Hotel for comparable value but much better service). Was supposed to be at the Adante Hotel but they were booked and sent me to their sister hotel, the Stratford (thankfully! The Adante is not close at all to Union Square and is in much seedier part of the neighborhood). - I didn't find the staff that helpful or friendly; too busy to acknowledge me at the desk; had to wait to get my suitcase from the luggage storage; got attitude whan I asked them to hunt down the guy with the keys so I could catch my plane.- My TV did not work; the clock radio did not work; the sink (in the bedroom) leaked; no ironing board in the room; didn't allow early check-in or late check-out (I can live with this becasue they were booked up, but fit trend of being inflexible and not too concerned about customer service); elevator does take forever; no free WiFi (Tip: Union Square has free public WiFi); no A/C, which in San Fran is okay, but no ceiiling fan in the room). - On the good side, I thought the Tea Room was okay for continental breakfast, coffee etc.If you're going to stay there it better be for the location and the value.","Sep 29, 2006","0","0",3,4,6,4,3,4,3,"4","$148"
"hotel_133","hotel_4487","Good Location Have just spent three nights in this hotel.The staff were very friendly and helpful.After checking in, we waited for what seemed like an eternity for the lift to arrive ( this was to become a regular occourence), On arriving at the eighth floor we found our room and opened the door about two feet before it hit the bed. Whilst the room contained a double bed and a small desk there was barely enough room for one adult plus one suitcase let alone two adults and two suitcases. The bathroom was basic and functional. The veiw was great - if you liked looking at brick walls, if you lent out of the window and twisted your neck you could just about see the street.Breakfast was included, if you could stomach the day old muffins and some sort of musili. There was no coffee making facilities in the room, and facilities were only available at breakfast and between 3 to 5pm.The only good thing about this hotel is its location close to Union square.","Sep 25, 2006","0","0",4,2,6,4,5,5,3,"4","$148"
"hotel_133","hotel_10296","Great location       Take the Big Red Shiny Mac Fire Engine Tour, it's great fun for young  old alike!","Sep 23, 2006","4","4",6,5,6,5,5,5,3,"4","$148"
"hotel_133","hotel_2898","Excellent value We had an a good stay at the Stratford. The staff were friendly and helpful. The rooms were clean  tidy. The breakfast was a good start to the day. The location is a the heart of everything. We would recommend this hotel to any friends or family who may be going to SF.","Sep 19, 2006","0","0",6,5,6,6,5,6,4,"4","$148"
"hotel_133","hotel_10316","Excellent Location and Value This was the first hotel my friend and I stayed at when we arrived for a two week holiday in San Francisco. You can not beat it's location especially if you are new to the area it is right on Powell street next to shops, transport links, restaurants etc. We had a room at the back of the hotel as well as on the end of a row. After reading past reviews of the hotel we weren't expecting much and we knew we hadn't paid a huge amount; however we were pleasantly surprise the room was plenty big enough and had a decent size bathroom. The sink was in the main room with a nice mirror and space to store your toiletries.  The breakfast was a nice touch and we filled ourselves up on toast, muffins, cereal etc. If you don't fancy this there are plenty of options for other food close by.  As I mentioned the location is excellent right by the shopping centre, Macy's and the lovely Union Square is a few strides away. We found the staff to be very friendly and helpful; even making a phone calls to our tour providers to sort out some problems we were having. There is a small lounge on the ground floor at the back as well as two computers where for a small charge you can access the internet. Overall I would recommend this hotel for a first stop off in the city; it is a budget hotel so if your staying for more than a few days you may want some more luxury; but for what you pay you get a good service and stay.Tips: request a room at the back of the hotel. The smell you may experience as you enter the hotel is  only coming from Lush next door. Make the most of the helpful staff and ask any questions  you may have; they are happy to help and make  Recommendations for restaurants etc.","Aug 7, 2006","5","5",1,1,1,1,1,1,1,"4","$148"
